ID,Latitud,Longitud,Peso
1,41.696446,-0.8685788,10.5
2,41.6715959,-0.8882247,10.1
3,41.6430736,-0.9095464,9.5
4,41.6401032,-0.9356444,9.3
5,41.624989,-0.876453,25.9
6,41.6457204,-0.8679305,17.5
7,41.6420716,-0.868363,13.4
8,41.6328966,-0.8888186,8.6
9,41.6276457,-0.8875604,11.4
10,41.6574344,-0.8871594,35.9
11,41.6524047,-0.8752563,12.7
12,41.6508053,-0.8796528,27.9
13,41.6395326,-0.9348102,13.1
14,41.6569971,-0.8881524,14.0
15,41.642304,-0.8685492,10.6
16,41.6497028,-0.9087224,22.6
17,41.6322115,-0.9086958,10.6
18,41.6487372,-0.8817685,20.9
19,41.6466663,-0.8622425,52.7
20,41.644647,-0.8807787,13.5
21,41.6478362,-0.8985473,30.1
22,41.6438284,-0.8754946,11.8
23,41.6567976,-0.88718,18.5
24,41.6458901,-0.8753358,24.1
25,41.6559748,-0.8644746,9.9
26,41.6691348,-0.8862698,13.3
27,41.5705596,-0.7387002,12.2
28,41.6475016,-0.8641021,21.9
29,41.6297752,-0.9075979,36.8
30,41.6272831,-0.8841162,9.7
31,41.6502848,-0.9074439,8.5
32,41.635856,-0.8843946,44.2
33,41.6605004,-0.8593366,18.2
34,41.6389384,-0.8959728,9.1
35,41.6748435,-0.8720366,11.1
36,41.7988226,-0.8162775,16.5
37,41.7066146,-1.0020565,12.5
38,41.6472682,-0.8978755,9.5
39,41.6258604,-0.8770245,24.1
40,41.6625406,-0.8800057,27.9
41,41.6474752,-0.8926841,13.1
42,41.6410836,-0.8657008,12.5
43,41.6388148,-0.8803063,16.9
44,41.6744846,-0.8841635,16.8
45,41.6519286,-0.8832306,13.9
46,41.6468432,-0.8616325,29.1
47,41.7075295,-1.0014894,12.3
48,41.659593,-0.8937422,51.9
49,41.6488463,-0.9230807,10.1
50,41.6495244,-0.9004222,17.0
51,41.644693,-0.8819212,13.5
52,41.6496302,-0.8808616,9.0
53,41.6412483,-0.8866932,18.1
54,41.5825416,-0.9199773,87.2
55,41.7162776,-0.842693,12.1
56,41.6512079,-0.8681578,47.9
57,41.645203,-0.8670014,19.5
58,41.6515467,-0.8821886,8.9
59,41.6477809,-0.8957864,18.1
60,41.6726909,-0.8389976,15.6
61,41.6408976,-0.8879437,13.7
62,41.7075336,-1.0014352,8.9
63,41.6505008,-0.9128471,8.9
64,41.6475383,-0.9157943,18.4
65,41.6610503,-0.8949953,13.2
66,41.6715207,-0.8873267,17.1
67,41.644262,-0.9121016,20.0
68,41.6459339,-0.9076604,40.5
69,41.6570456,-0.8882762,13.7
70,41.639027,-0.8755882,25.1
71,41.7066742,-1.0027444,8.4
72,41.6432542,-0.8689994,28.1
73,41.6391979,-0.8965768,15.3
74,41.6268707,-0.8863188,15.5
75,41.6481097,-0.9012236,13.5
76,41.6498462,-0.891025,10.0
77,41.657898,-0.8714764,14.3
78,41.6287887,-0.8847584,10.7
79,41.6715696,-0.8864038,11.7
80,41.6595793,-0.9306394,11.5
81,41.6472657,-0.8811395,30.7
82,41.6518942,-0.8748842,15.9
83,41.6629118,-0.8626734,24.9
84,41.9190979,-1.2522474,14.2
85,41.6275718,-0.8920241,12.3
86,41.7176757,-1.028352,9.7
87,41.6306999,-0.8822764,8.5
88,41.6450601,-0.8822717,17.4
89,41.6413155,-1.0006624,23.8
90,41.6445979,-0.8965426,9.4
91,41.645109,-0.8710468,9.4
92,41.6282118,-0.8824418,10.3
93,41.6365237,-0.8636607,11.0
94,41.6464788,-0.896864,18.7
95,41.6428372,-0.875185,35.7
96,41.6614625,-0.8646654,57.8
97,41.6611435,-0.8945732,11.4
98,41.6428489,-0.9101109,11.1
99,41.6451852,-0.8821316,11.1
100,41.6498434,-0.891366,19.2
101,41.6658858,-1.0095336,11.2
102,41.6571735,-0.884477,9.2
103,41.6588276,-0.871887,39.9
104,41.6341487,-0.8783791,28.5
105,41.6323246,-0.8765357,23.2
106,41.6584602,-0.8713799,23.3
107,41.6434362,-0.8829373,14.8
108,41.6513212,-0.8792574,9.3
109,41.6384393,-0.8844013,52.4
110,41.671172,-0.8850982,10.4
111,41.6516477,-0.9033834,33.5
112,41.6432198,-0.9104002,8.2
113,41.649335,-0.9178883,35.2
114,41.6436322,-0.8880742,10.6
115,41.6466969,-0.8662678,8.9
116,41.6497999,-0.9041445,10.2
117,41.646075,-0.8632248,10.7
118,41.6605765,-0.87677,9.0
119,41.6780042,-0.8742828,10.3
120,41.6525862,-0.8749895,10.3
121,41.6561267,-0.9016052,9.4
122,41.647099,-0.8796808,12.8
123,41.7727675,-0.8233604,11.3
124,41.6266887,-0.9104366,14.5
125,41.6556822,-0.9126716,27.9
126,41.6857952,-0.826377,21.0
127,41.6717053,-0.8757124,17.8
128,41.6557662,-0.9128518,48.9
129,41.7061598,-0.9992572,14.3
